place,placeLabel
http://www.wikidata.org/entity/Q203169,Montecristo
http://www.wikidata.org/entity/Q373026,Santa-Maria-Poggio
http://www.wikidata.org/entity/Q507251,Mariana
http://www.wikidata.org/entity/Q649519,Golo
http://www.wikidata.org/entity/Q1724722,canton of Campoloro-di-Moriani
http://www.wikidata.org/entity/Q2444665,Q2444665
http://www.wikidata.org/entity/Q2461155,Q2461155
http://www.wikidata.org/entity/Q2343686,Lucciana Cathedral
http://www.wikidata.org/entity/Q3001618,Q3001618
http://www.wikidata.org/entity/Q3591671,Q3591671
http://www.wikidata.org/entity/Q2927422,Buccatoggio
http://www.wikidata.org/entity/Q3669509,Q3669509
http://www.wikidata.org/entity/Q3670181,Q3670181
http://www.wikidata.org/entity/Q3674570,Q3674570
http://www.wikidata.org/entity/Q3682756,Q3682756
http://www.wikidata.org/entity/Q3748647,Q3748647
http://www.wikidata.org/entity/Q3748732,Q3748732
http://www.wikidata.org/entity/Q3891489,Q3891489
http://www.wikidata.org/entity/Q3901925,Q3901925
http://www.wikidata.org/entity/Q3950680,Q3950680
http://www.wikidata.org/entity/Q3953847,Q3953847
http://www.wikidata.org/entity/Q3971904,Q3971904
http://www.wikidata.org/entity/Q4016240,Q4016240
http://www.wikidata.org/entity/Q245610,San-Giuliano
http://www.wikidata.org/entity/Q3584960,Église Sainte-Christine de Valle-di-Campoloro
http://www.wikidata.org/entity/Q731527,San-Nicolao
http://www.wikidata.org/entity/Q1565312,HMS Saracen
http://www.wikidata.org/entity/Q304081,Canale di Corsica
http://www.wikidata.org/entity/Q920045,Santa-Lucia-di-Moriani
http://www.wikidata.org/entity/Q8926010,Q8926010
http://www.wikidata.org/entity/Q252572,Cervione
http://www.wikidata.org/entity/Q3396036,Pomonte
http://www.wikidata.org/entity/Q208114,Pianosa
http://www.wikidata.org/entity/Q246480,Valle-di-Campoloro
http://www.wikidata.org/entity/Q3966668,Spiaggia di Fetovaia
http://www.wikidata.org/entity/Q14220111,Q14220111
http://www.wikidata.org/entity/Q15070128,Q15070128
http://www.wikidata.org/entity/Q3966667,Spiaggia di Cavoli
http://www.wikidata.org/entity/Q7826876,Torra di Padulella
http://www.wikidata.org/entity/Q16556881,Q16556881
http://www.wikidata.org/entity/Q16571425,Q16571425
http://www.wikidata.org/entity/Q16590348,Q16590348
http://www.wikidata.org/entity/Q16601448,Q16601448
http://www.wikidata.org/entity/Q17383438,Q17383438
http://www.wikidata.org/entity/Q17624830,Q17624830
http://www.wikidata.org/entity/Q16555275,Pianosa lighthouse
http://www.wikidata.org/entity/Q18202729,Q18202729
http://www.wikidata.org/entity/Q18397481,Q18397481
http://www.wikidata.org/entity/Q2942459,Cervione Cathedral
http://www.wikidata.org/entity/Q18418715,Q18418715
http://www.wikidata.org/entity/Q18418720,Q18418720
http://www.wikidata.org/entity/Q18418811,Q18418811
http://www.wikidata.org/entity/Q18785478,Q18785478
http://www.wikidata.org/entity/Q18785476,Q18785476
http://www.wikidata.org/entity/Q835755,Scoglio d'Africa
http://www.wikidata.org/entity/Q20010249,Q20010249
http://www.wikidata.org/entity/Q7826897,Torra di San Pellegrinu
